Procurement Ref. No.,Lot No.,Procurement Title,Procuring Entity,Procurement Category,Market Approach,Source,Submission Deadline
DMU-NCB-G-0011-2017-BID,Lot:  1,Procurement Of LCD Projector,Debremarkos University,Goods,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
WKU-NCB-G-0108-2017-BID,Lot:  1,LOT419 የወልቂጤ ዩኒቨርስቲ ለግቢ ደህንነት ስራ አስፈፃሚ ስ,Wolkite University,Goods,National,Federal Government,"Apr 4, 2025, 2:00:00 PM"
MoWE-NCB-G-0008-2017-BID,Lot:  1,tire bid document,Ministry of Water and Energy,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
MoWE-NCB-G-0009-2017-BID,Lot:  1,spare part bid document,Ministry of Water and Energy,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
WKU-NCB-G-0107-2017-BID,Lot:  1,LOT412 የወልቂጤ ዩኒቨርስቲ ለአካ/ጉ/ም/ፕሬዝዳንት ቢሮ ለመ,Wolkite University,Goods,National,Federal Government,"Apr 4, 2025, 5:00:00 PM"
MoA-NCB-G-0059-2017-BID,Lot:  1,ICT MTERIAL GIZ INVESTMENT,Ministry of Agriculture,Goods,National,Federal Government,"Apr 4, 2025, 2:00:00 PM"
EFP-NCB-G-0067-2017-BID-Re-bid,Lot:  1,procurement of bedding close for 2017 bu,Ethiopian Federal Police,Goods,National,Federal Government,"Apr 4, 2026, 10:00:00 AM"
SPHMMC-NCB-NC-0086-2017-BID,Lot:  1,Procurements of Generator Troubleshootin,St. Paul's Hospital Millennium Medical,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 6:00:00 PM"
MOD-NCB-G-0552-2017-BID,Lot:  1,lot 20 stationary items 6219/ 2017,Ministry of Defense,Goods,National,Federal Government,"Apr 4, 2025, 12:00:00 PM"
DKU-NCB-G-0068-2017-BID-Re-bid,Lot:  1,procurement of ICT equipment's 1,Debark University,Goods,National,Federal Government,"Apr 9, 2025, 6:00:00 PM"
,,,,,,,
WRU-NCB-G-0035-2017-BID,Lot:  1,ለወራቤ ዩኒቨርሲቲ አገልግሎት የሚውሉ የከለር ፕሪንተር አክሰሰሪ,Werabe University,Goods,National,Federal Government,"Apr 5, 2025, 10:00:00 AM"
MOD-NCB-G-0630-2017-PUR,Lot:  1,procurement of  የላዉደሪ ማጠቢያ ማሽን ማቴሪያል,Ministry of Defense,Goods,National,Federal Government,"Apr 21, 2025, 12:00:00 AM"
JKU-NCB-NC-0034-2017-BID,Lot:  1,ለዩኒቨርሲቲው መምህራንና ሠራተኞች አገልግሎት የሚውል የትራንስፖ,Jinka University,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
DaDU	-NCB-G-0015-2017-BID,Lot:  1,Lot 7 procurement of Sper part,Dambi Dollo University,Goods,National,Federal Government,"Apr 1, 2025, 3:00:00 PM"
FSCoE-NCB-NC-0063-2017-BID,Lot:  1,Procurement of 4-star hotel services for,Federal Supreme Court,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 9:00:00 AM"
FSCoE-NCB-NC-0064-2017-BID,Lot:  1,Procurement of 5-star hotel services for,Federal Supreme Court,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 9:00:00 AM"
GSE-NCB-G-0019-2017-BID,Lot:  1,Procurement of Car Fuel & Lubricant,Geological Institute of Ethiopia,Goods,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
WRU-NCB-G-0036-2017-BID,Lot:  1,ለወራቤ ዩኒቨርሲቲ ሰው ሃብት ስራ አስፈጻሚ አገልግሎት የሚውሉ,Werabe University,Goods,National,Federal Government,"Apr 4, 2025, 5:00:00 PM"
WRU-NCB-G-0036-2017-BID,Lot:  1,ለወራቤ ዩኒቨርሲቲ ሰው ሃብት ስራ አስፈጻሚ አገልግሎት የሚውሉ,Werabe University,Goods,National,Federal Government,"Apr 4, 2025, 5:00:00 PM"
MOD-NCB-G-0551-2017-BID,Lot:  1,Purchase of electronics የኤሌክትሮኒክስ ዕቃ ግዥE,Ministry of Defense,Goods,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
FPC-NCB-G-0064-2017-BID,Lot:  1,Purchase of Medical Equipment #,Federal Prisoners Commission,Goods,National,Federal Government,"Apr 4, 2025, 5:00:00 PM"
,,,,,,,
MoH-NCB-G-0064-2017-BID,Lot:  1,procurement of management equipment for,Ministry of Health,Goods,National,Federal Government,"Apr 4, 2025, 6:00:00 PM"
JKU-NCB-G-0036-2017-BID,Lot:  1,የተሸከርካር ጎማ ግዥ 2017,Jinka University,Goods,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
UoG-NCB-G-0112-2017-BID,Lot:  1,Lot  -  003 Procurement  Of Chemical &,University of Gondar,Goods,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
ECSU-NCB-G-0043-2017-BID,Lot:  1,procurement of the furniture,Ethiopian Civil Service University,Goods,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
FPC-NCB-NC-0065-2017-BID,Lot:  1,"Purchase for water truck(20,000(ሃያ ሺህ ሊት",Federal Prisoners Commission,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
UoG-NCB-G-0110-2017-BID,Lot:  1,LOT 056 GC ሲስሚክስ ማሽን ሪኤጀንት ግዥ,University of Gondar,Goods,National,Federal Government,"Apr 4, 2025, 12:00:00 PM"
MoA-NCB-G-0064-2017-BID,Lot:  1,PROCURMENT FOR TONER,Ministry of Agriculture,Goods,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
AII-NCB-G-0043-2017-BID,Lot:  1,LOT 21 Bottled water / የታሸገ ውሃ,Artificial Intelligence Institute,Goods,National,Federal Government,"Apr 4, 2025, 6:00:00 PM"
EPSA-NCB-G-0083-2017-BID,Lot:  1,	የኢትዮጵያ መድሃኒት አቅራቢ አገልግሎት  ለ5(አምስት) ሪቮ,Ethiopia Pharmaceutical Supplies Service,Goods,National,Federal Government,"Apr 3, 2025, 7:00:00 PM"
PA-NCB-G-0008-2017-BID,Lot:  1,Lot 49 Procurement of Diesel Engine Gene,FDRE Palace Administration,Goods,National,Federal Government,"Apr 3, 2025, 5:00:00 PM"
,,,,,,,
FPC-NCB-G-0063-2017-BID,Lot:  1,Procurement of Sport Materials 2017,Federal Prisoners Commission,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
ECC-NCB-NC-0129-2017-BID,Lot:  1,የጥበቃ አገልግሎት ለአንድ ግለሰብ ግቢ ለ24 ሰዓት ለሶስት ሰው,Ethiopian Customs Commission,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
MoP-NCB-G-0010-2017-BID-Re-bid,Lot:  1,MOp 2017 precurement of comunication mat,Ministry of Peace,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
MoP-NCB-G-0010-2017-BID-Re-bid,Lot:  1,MOp 2017 precurement of comunication mat,Ministry of Peace,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
SPSH-NCB-G-0136-2017-PUR,Lot:  1,procurement of OR catheter,St. Peter Specialized Hospital,Goods,National,Federal Government,"Jan 31, 2026, 12:00:00 AM"
WRU-NCB-G-0036-2017-BID,Lot:  1,ለወራቤ ዩኒቨርሲቲ ሰው ሃብት ስራ አስፈጻሚ አገልግሎት የሚውሉ,Werabe University,Goods,National,Federal Government,"Apr 4, 2025, 2:00:00 PM"
ACSO-NCB-NC-0010-2017-BID,Lot:  1,Sewing service (የልብስ ስፌት አገልግሎት)2017,Authority For Civil Society Organization,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
DRMC-NCB-NC-0030-2017-BID,Lot:  1,purchase of Hotel service   at meqele,Ethiopian Disaster Risk Management Commi,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
FHCE-NCB-G-0034-2017-BID,Lot:  1,ለ3ተኛ ጊዜ የወጣ የእስቴሽነሪ ጨረታ ግዥ 2017 #,Federal High Court,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
ERA-NCB-W-0071-2017-BID,Lot:  1,Saja - Fufa - Gilgel Gibe HEP 2 Road Per,Ethiopian Road Administration,Works,National,Federal Government,"Apr 23, 2025, 5:00:00 PM"
UoG-NCB-G-0111-2017-BID,Lot:  1,ለሆስፒታል አገልግሎት የሚውል ልዩ ልዩ ህትመቶች ግዥ,University of Gondar,Goods,National,Federal Government,"Apr 4, 2025, 1:00:00 PM"
,,,,,,,
ECC-NCB-G-0117-2017-BID,Lot:  1,LOT 38 PROCUREMENT OF የአሻራ ማሽን(Attendanc,Ethiopian Customs Commission,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
EAS-NCB-G-0009-2017-BID,Lot:  1,Procurement of Car Tyre 1,Ethiopian Accreditation Service,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
ECC-NCB-NC-0130-2017-BID,Lot:  1,"Lot 50 PROCUREMENT OF PRINTER ,PHOTOCOPY",Ethiopian Customs Commission,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
SPHMMC-NCB-NC-0085-2017-BID,Lot:  1,የፀረ ተባይ ኬሚካል ርጭትና የአይጥ ወጥመድ ማስቀመጥ አገልግሎት,St. Paul's Hospital Millennium Medical,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 5:00:00 PM"
ASU-NCB-G-0024-2017-BID,Lot:  1,የቤትና የቢሮ ዕቃዎች አቅርቦት ግዥ,Assosa University,Goods,National,Federal Government,"Apr 3, 2025, 7:00:00 PM"
ASU-NCB-G-0028-2017-BID-Re-bid,Lot:  1,Light and heavy vehicles Tiyer Supply pr,Assosa University,Goods,National,Federal Government,"Apr 3, 2025, 7:00:00 PM"
DBU-NCB-G-0066-2017-BID,Lot:  1,የምግብ ማብሰያ ማሽኖች መለዋወጫ ዕቃዎች ግዥ 2017 ዓ.ም. በ,Debre Birhan University,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
BHU-NCB-W-0048-2017-BID,Lot:  1,Lot 81:Procurement of Remaining works of,Bule Hora University,Works,National,Federal Government,"Apr 10, 2025, 2:00:00 PM"
BHU-NCB-W-0062-2017-BID,Lot:  1,Lot-Con:6 Remaining work for the constru,Bule Hora University,Works,National,Federal Government,"Apr 10, 2025, 10:00:00 AM"
BHU-NCB-G-0069-2017-BID,Lot:  1,Lot 75 ለሠራተኞች እና ለግቢ ፖሊስ የሚሆን  ደንብ ልብስ ግ,Bule Hora University,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
,,,,,,,
ECC-NCB-G-0117-2017-BID,Lot:  1,LOT 38 PROCUREMENT OF የአሻራ ማሽን(Attendanc,Ethiopian Customs Commission,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
EAS-NCB-G-0009-2017-BID,Lot:  1,Procurement of Car Tyre 1,Ethiopian Accreditation Service,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
ECC-NCB-NC-0130-2017-BID,Lot:  1,"Lot 50 PROCUREMENT OF PRINTER ,PHOTOCOPY",Ethiopian Customs Commission,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
SPHMMC-NCB-NC-0085-2017-BID,Lot:  1,የፀረ ተባይ ኬሚካል ርጭትና የአይጥ ወጥመድ ማስቀመጥ አገልግሎት,St. Paul's Hospital Millennium Medical,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 5:00:00 PM"
ASU-NCB-G-0024-2017-BID,Lot:  1,የቤትና የቢሮ ዕቃዎች አቅርቦት ግዥ,Assosa University,Goods,National,Federal Government,"Apr 3, 2025, 7:00:00 PM"
ASU-NCB-G-0028-2017-BID-Re-bid,Lot:  1,Light and heavy vehicles Tiyer Supply pr,Assosa University,Goods,National,Federal Government,"Apr 3, 2025, 7:00:00 PM"
DBU-NCB-G-0066-2017-BID,Lot:  1,የምግብ ማብሰያ ማሽኖች መለዋወጫ ዕቃዎች ግዥ 2017 ዓ.ም. በ,Debre Birhan University,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
BHU-NCB-W-0048-2017-BID,Lot:  1,Lot 81:Procurement of Remaining works of,Bule Hora University,Works,National,Federal Government,"Apr 10, 2025, 2:00:00 PM"
BHU-NCB-W-0062-2017-BID,Lot:  1,Lot-Con:6 Remaining work for the constru,Bule Hora University,Works,National,Federal Government,"Apr 10, 2025, 10:00:00 AM"
BHU-NCB-G-0069-2017-BID,Lot:  1,Lot 75 ለሠራተኞች እና ለግቢ ፖሊስ የሚሆን  ደንብ ልብስ ግ,Bule Hora University,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
,,,,,,,
EDS-NCB-NC-0017-2017-BID,Lot:  1,Lot for procurement of Four star(4*) hot,Ethiopian Diaspora Service,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 5:00:00 PM"
ESA-NCB-G-0034-2017-BID,Lot:  1,procurement of Coach sports equipment an,Ethiopian sport Academy,Goods,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
SPSH-NCB-G-0097-2017-BID,Lot:  1,procurement medicine for community pharm,St. Peter Specialized Hospital,Goods,National,Federal Government,"Apr 4, 2025, 2:00:00 PM"
AmU-NCB-G-0580-2017-PUR,Lot:  1,Latest Bag First Rank,Arbaminch University,Goods,National,Federal Government,"Apr 18, 2025, 5:00:00 PM"
ECC-NCB-G-0109-2017-BID,Lot:  1,LOT 41PROCUREMENT OF Firewall,Ethiopian Customs Commission,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
EPOS-NCB-G-0014-2017-BID,Lot:  1,procurement of tires,Ethiopia Prosthetic and Orthotic Service,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
DRMC-NCB-C-0068-2017-BID,Lot:  1,Tender of Consultancy Service for Design,Ethiopian Disaster Risk Management Commi,ConsultancyServices,National,Federal Government,"Apr 14, 2025, 10:00:00 AM"
DBU-NCB-G-0032-2017-BID,Lot:  1,ለቴክኖሎጂ ፈጠራ  እና  ኢንኩቤሽን ስራ ግብኣት የሚውል የኮንስ,Debre Birhan University,Goods,National,Federal Government,"Apr 2, 2025, 10:00:00 AM"
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
NMIE-NCB-G-0018-2017-BID-Re-bid,Lot:  1,Tender of furnisher2,National Metrology Institute of Ethiopi,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
NMIE-NCB-G-0018-2017-BID-Re-bid,Lot:  1,Tender of furnisher2,National Metrology Institute of Ethiopi,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
NMIE-NCB-G-0018-2017-BID-Re-bid,Lot:  1,Tender of furnisher2,National Metrology Institute of Ethiopi,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
NMIE-NCB-G-0018-2017-BID-Re-bid,Lot:  1,Tender of furnisher2,National Metrology Institute of Ethiopi,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
NMIE-NCB-G-0018-2017-BID-Re-bid,Lot:  1,Tender of furnisher2,National Metrology Institute of Ethiopi,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
,,,,,,,
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Apr 1, 2025, 4:00:00 PM"
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Jun 11, 2025, 4:00:00 PM"
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Jun 11, 2025, 4:00:00 PM"
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Jun 11, 2025, 4:00:00 PM"
MOD-NCB-G-0549-2017-BID,Lot:  1,lot 19 procurements of electronics 6313,Ministry of Defense,Goods,National,Federal Government,"Apr 2, 2025, 12:00:00 PM"
ECC-NCB-NC-0125-2017-BID,Lot:  1,ሎት 106 ፡ የመኪና ኪራይ አገልግሎት ግዥ,Ethiopian Customs Commission,NonConsultancyServices,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
AU-NCB-G-0040-2017-BID,Lot:  1,በ2017 በጀት ዓመት የሰራተኞች የስራና የደንብ ልብስ ግዥ ጨረ,Ambo University,Goods,National,Federal Government,"Apr 2, 2025, 2:00:00 PM"
ECC-NCB-G-0119-2017-BID,Lot:  1,Lot  20 የንፅህና መጠበቂያ እና የፅዳት ዕቃዎች /,Ethiopian Customs Commission,Goods,National,Federal Government,"Apr 2, 2025, 5:00:00 PM"
MOD-NCB-G-0548-2017-BID,Lot:  1,አላቂ የትምህርት መርጃ ዕቃ ግዥ (ENHQ2),Ministry of Defense,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
ACSH-NCB-G-0082-2017-BID,Lot:  1,procurement of medical Equipment ( sucti,Alert Comprhensive Specialized Hospital,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
,,,,,,,
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Apr 1, 2025, 4:00:00 PM"
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Jun 11, 2025, 4:00:00 PM"
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Jun 11, 2025, 4:00:00 PM"
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Jun 11, 2025, 4:00:00 PM"
MOD-NCB-G-0549-2017-BID,Lot:  1,lot 19 procurements of electronics 6313,Ministry of Defense,Goods,National,Federal Government,"Apr 2, 2025, 12:00:00 PM"
ECC-NCB-NC-0125-2017-BID,Lot:  1,ሎት 106 ፡ የመኪና ኪራይ አገልግሎት ግዥ,Ethiopian Customs Commission,NonConsultancyServices,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
AU-NCB-G-0040-2017-BID,Lot:  1,በ2017 በጀት ዓመት የሰራተኞች የስራና የደንብ ልብስ ግዥ ጨረ,Ambo University,Goods,National,Federal Government,"Apr 2, 2025, 2:00:00 PM"
ECC-NCB-G-0119-2017-BID,Lot:  1,Lot  20 የንፅህና መጠበቂያ እና የፅዳት ዕቃዎች /,Ethiopian Customs Commission,Goods,National,Federal Government,"Apr 2, 2025, 5:00:00 PM"
MOD-NCB-G-0548-2017-BID,Lot:  1,አላቂ የትምህርት መርጃ ዕቃ ግዥ (ENHQ2),Ministry of Defense,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
ACSH-NCB-G-0082-2017-BID,Lot:  1,procurement of medical Equipment ( sucti,Alert Comprhensive Specialized Hospital,Goods,National,Federal Government,"Apr 2, 2025, 1:00:00 PM"
,,,,,,,
EFP-NCB-G-0107-2017-BID,Lot:  1,የተለያዩ የፌደራል ፖሊስ በትረ መኮንን እና የስነ-ስርዓት ቁጥጥ,Ethiopian Federal Police,Goods,National,Federal Government,"Apr 1, 2025, 7:00:00 PM"
EFDA-NCB-NC-0004-2017-BID-Re-bid,Lot:  1,GENERATOR SERVICE AND MAINTENANCE,Ethiopian Food and Drug Authority,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 1:00:00 PM"
EDS-NCB-G-0016-2017-BID,Lot:  1,Lot for procurement of car decoration ma,Ethiopian Diaspora Service,Goods,National,Federal Government,"Apr 1, 2025, 5:00:00 PM"
KUE-NCB-G-0011-2017-BID,Lot:  1,Lot 05: /Procurement of Tonner,Kotebe University of Education,Goods,National,Federal Government,"Apr 1, 2025, 2:00:00 PM"
KUE-NCB-G-0034-2017-BID,Lot:  1,procurement of stationeries for Art pur,Kotebe University of Education,Goods,National,Federal Government,"Apr 1, 2025, 2:00:00 PM"
KUE-NCB-NC-0035-2017-BID,Lot:  1,Procurement of Three Star And Above Hote,Kotebe University of Education,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 2:00:00 PM"
KUE-NCB-G-0037-2017-BID,Lot:  1,Procurement of cctv camera and Laptop,Kotebe University of Education,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
DKU-NCB-G-0089-2017-BID,Lot:  1,procurement of Agricultural laboratory c,Debark University,Goods,National,Federal Government,"Apr 1, 2025, 1:00:00 PM"
AmU-NCB-G-0049-2017-BID,Lot:  1,LOT - 20 - Procurement of 2017 Budget Ye,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 12:00:00 PM"
AmU-NCB-G-0047-2017-BID,Lot:  1,LOT - 14 - Procurement of 2017 Budget Ye,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 1:00:00 PM"
,,,,,,,
AmU-NCB-G-0045-2017-BID,Lot:  1,LOT - 16 - Procurement of of 2017 Budget,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 1:00:00 PM"
AmU-NCB-G-0052-2017-BID,Lot:  1,Purchase Requisition of 2017 Budget Year,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 12:00:00 PM"
AmU-NCB-G-0051-2017-BID,Lot:  1,LOT - 19 - Procurement  of 2017 Budget Y,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 12:00:00 PM"
AmU-NCB-G-0050-2017-BID,Lot:  1,Purchase Requisition of 2017 Budget Year,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 12:00:00 PM"
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Jun 11, 2025, 7:00:00 PM"
ASU-NCB-G-0026-2017-BID-Re-bid,Lot:  1,የስፖርት ቁሳቁስና አልባሳት ግዥ,Assosa University,Goods,National,Federal Government,"Jun 11, 2025, 7:00:00 PM"
ASTU-NCB-G-0083-2017-BID,Lot:  1,Lot 128 :- የሚኒ ባስ እና ፒካፕ መኪናዎች ጎማ ግዥ 2,Adama Science and Technology University,Goods,National,Federal Government,"Apr 1, 2025, 12:00:00 PM"
ASU-NCB-NC-0015-2017-BID-Re-bid-Re-bid,Lot:  1,Car bus  rent service procurement,Assosa University,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 1:00:00 PM"
ERA-NCB-W-0118-2017-BID,Lot:  1,Construction Works of Ebinat Bridge Reco,Ethiopian Roads Administration,Works,National,Federal Government,"Apr 15, 2025, 6:00:00 PM"
EKGH-NCB-G-0194-2017-PUR,Lot:  1,EKGH procurement of  Inverter(VFD) Compa,Eka Kotebe General Hospital,Goods,National,Federal Government,"Mar 12, 2031, 12:00:00 AM"
ERA-NCB-W-0026-2016-BID-Re-bid,Lot:  1,Construction Works of Azezo - Gorgora He,Ethiopian Road Administration,Works,National,Federal Government,"Apr 15, 2025, 6:00:00 PM"
,,,,,,,
AMSH-NCB-G-0073-2017-BID,Lot:  1,Procurement of Medical Equipment 10,Amanuel Mental Specialized Hospital,Goods,National,Federal Government,"Apr 4, 2025, 10:00:00 AM"
MOCS-NCB-G-0560-2017-PUR,Lot:  1,Procurement of 1/2 litter water /tes/201,Ministry of Culture & Sport,Goods,National,Federal Government,"Mar 27, 2026, 11:00:00 AM"
MU-NCB-W-0065-2017-BID,Lot:  1,Renovation project student dormitory at,Mekelle University,Works,National,Federal Government,"Apr 3, 2025, 12:00:00 PM"
ESA-NCB-W-0016-2017-BID-Re-bid,Lot:  1,Procurement Of Assela Athlete Tirunesh D,Ethiopian sport Academy,Works,National,Federal Government,"Apr 3, 2025, 1:00:00 PM"
PPS-NCB-W-0035-2017-BID,Lot:  1,CONSTRUCTION OF HOUSE,Federal Public Procurement Service,Works,National,Federal Government,"Apr 2, 2025, 7:00:00 PM"
AmU-NCB-G-0054-2017-BID,Lot:  1,LOT - 23 - Procurement  of 2017 Budget Y,Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 1:00:00 PM"
ERA-NCB-W-0061-2017-BID,Lot:  1,Construction Works of Adiha Bridge Recon,Ethiopian Road Administration,Works,National,Federal Government,"Apr 10, 2025, 5:00:00 PM"
ERA-NCB-W-0098-2017-BID,Lot:  1,Shebel - Gambela Periodic Road Maintenan,Ethiopian Roads Administration,Works,National,Federal Government,"Apr 9, 2025, 3:00:00 PM"
ERA-NCB-W-0076-2017-BID,Lot:  1,Adigudem - Mekele - Wukro Heavy Road Mai,Ethiopian Roads Administration,Works,National,Federal Government,"Apr 10, 2025, 5:00:00 PM"
ERA-NCB-W-0062-2017-BID,Lot:  1,Construction Works of Ayba Bridge Recons,Ethiopian Road Administration,Works,National,Federal Government,"Apr 10, 2025, 5:00:00 PM"
,,,,,,,
ALEA-NCB-W-0031-2017-BID,Lot:  1,Procurement of Landscape maintenance wor,African Leadership Excellence Academy,Works,National,Federal Government,"Apr 1, 2025, 7:00:00 PM"
EHA-NCB-W-0037-2017-BID,Lot:  1,Procurement  of Conservation and Adaptiv,Ethiopian Heritage Authority,Works,National,Federal Government,"Apr 1, 2025, 2:00:00 PM"
ERA-NCB-W-0031-2016-BID-Re-bid,Lot:  1,Construction Works of Abiadi - Hawzen -,Ethiopian Road Administration,Works,National,Federal Government,"Apr 9, 2025, 5:00:00 PM"
FSCoE-ICB-G-0065-2017-BID,Lot:  1,"Supply, Installation, Testing and commis",Federal Supreme Court,Goods,International,Federal Government,"Apr 14, 2025, 2:00:00 PM"
MAU-NCB-G-0055-2017-BID,Lot:  1,የእንስሳት መድሀኒት ግዥ,Mekidelamba University,Goods,National,Federal Government,"Apr 9, 2025, 10:00:00 AM"
WU-NCB-G-0064-2017-BID,Lot:  1,የኤሌክትሮኒክስ  እቃዎች ግዥ ደሴ ግቢ 2017,Wollo University,Goods,National,Federal Government,"Apr 9, 2025, 10:00:00 AM"
ERA-NCB-W-0029-2016-BID-Re-bid-Re-bid-Re-bid,Lot:  1,Construction Works of Wukro - Adigrat He,Ethiopian Road Administration,Works,National,Federal Government,"Apr 8, 2025, 5:00:00 PM"
GRDCPO-NCB-NC-0056-2017-PUR,Lot:  1,Procurements of landscaping and beautifi,Grand Renaissance Dam Coordination Proje,NonConsultancyServices,National,Federal Government,"Jan 9, 5386, 12:00:00 AM"
ERA-NCB-W-0112-2017-BID,Lot:  1,Bonga - Felegeselam Periodic Road Mainte,Ethiopian Roads Administration,Works,National,Federal Government,"Apr 7, 2025, 7:00:00 PM"
SPHMMC-NCB-G-0074-2017-BID,Lot:  1,UPS Lot,St. Paul's Hospital Millennium Medical,Goods,National,Federal Government,"Apr 1, 2025, 2:00:00 PM"
,,,,,,,
ERA-ICB-G-0038-2017-BID,Lot:  1,Lot 3:Procurment of Different Types of A,Ethiopian Road Administration,Goods,International,Federal Government,"Apr 11, 2025, 10:00:00 AM"
MoR-NCB-W-0120-2017-BID,Lot:  1,"RENOVATION OF MAIN BUILDING, WOMEN & CHI",Ministry of Revenue,Works,National,Federal Government,"Apr 14, 2025, 3:00:00 PM"
AII-ICB-G-0040-2017-BID,Lot:  1,Procurement of High performance computin,Artificial Intelligence Institute,Goods,International,Federal Government,"Apr 7, 2025, 5:00:00 PM"
