Procurement Ref. No.,Lot No.,Procurement Title,Procuring Entity,Procurement Category,Market Approach,Source,Submission Deadline
UoG-NCB-G-0214-2017-PUR,Lot:  1,Procurement of Stationary Material (Exam,University of Gondar,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
ASTU-NCB-G-0600-2017-PUR,Lot:  1,የታርጋ ቁጥር 4-12211 ET Model -H25105L-GCMNS,Adama Science and Technology University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
EAES-NCB-G-0065-2017-PUR,Lot:  1,Various types of custom clothing proform,Educational Assessment and Examinations,Goods,National,Federal Government,"Mar 31, 2025, 5:30:00 PM"
MoR-NCB-G-0186-2017-BID,Lot:  1,Procurement Of Cafteria Table &Chair (የሰ,Ministry of Revenue,Goods,National,Federal Government,"Apr 15, 2025, 1:00:00 PM"
MOD-NCB-G-0693-2017-PUR,Lot:  1,የኤሌክተሪክ ዕቃዎች ግዥ (defence command and sta,Ministry of Defense,Goods,National,Federal Government,"Apr 3, 2025, 2:00:00 PM"
AASTU-NCB-G-0013-2017-BID,Lot:  1,የማገዶ እንጨት,Addis Ababa Science and Technology Unive,Goods,National,Federal Government,"Apr 10, 2025, 3:00:00 PM"
EHA-NCB-W-0040-2017-BID,Lot:  1,Conservation and Restoration work of Wuk,Ethiopian Heritage Authority,Works,National,Federal Government,"Apr 4, 2025, 3:00:00 PM"
,,,,,,,
EKGH-NCB-NC-0041-2017-BID,Lot:  1,generator maintenance service and goods,Eka Kotebe General Hospital,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 2:00:00 PM"
MoR-NCB-G-0645-2017-PUR,Lot:  1,MOR EAST ( photo copy machine maintenanc,Ministry of Revenue,Goods,National,Federal Government,"May 31, 2025, 1:00:00 PM"
EAES-NCB-NC-0038-2017-BID,Lot:  1,Procurement of hotel service ADIS ABEBA,Educational Assessment and Examinations,NonConsultancyServices,National,Federal Government,"Apr 8, 2025, 10:00:00 AM"
EAES-NCB-NC-0039-2017-BID,Lot:  1,Procurement of hotel service ADIS ABEBA,Educational Assessment and Examinations,NonConsultancyServices,National,Federal Government,"Apr 8, 2025, 10:00:00 AM"
ASTU-NCB-G-0575-2017-PUR,Lot:  1,PURCHASE OF MECHANICAL /STRUCTURAL MATER,Adama Science and Technology University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
EAES-NCB-NC-0040-2017-BID,Lot:  1,5-star hotel Addis Ababa tenderprocure,Educational Assessment and Examinations,NonConsultancyServices,National,Federal Government,"Apr 8, 2025, 10:00:00 AM"
ASTU-NCB-G-0571-2017-PUR,Lot:  1,purchase of sensors /Electronics,Adama Science and Technology University,Goods,National,Federal Government,"Apr 1, 2025, 11:00:00 AM"
MoWSA-NCB-G-0052-2017-PUR,Lot:  1,የመኪና እቃ መለዋወጫ እቃዎች t1,Ministry of Women and Social Affairs,Goods,National,Federal Government,"Apr 1, 2025, 12:00:00 AM"
PPS-ICB-G-0044-2017-BID,Lot:  1,Lot- 2 Procurement of Printer and Photoc,Federal Public Procurement Service,Goods,International,Federal Government,"Apr 26, 2025, 2:00:00 PM"
PPS-ICB-G-0046-2017-BID,Lot:  1,5.	Lot- 5 Procurement of Uniform Cloths,Federal Public Procurement Service,Goods,International,Federal Government,"Apr 27, 2025, 3:00:00 PM"
,,,,,,,
PPS-ICB-G-0043-2017-BID,Lot:  1,Lot- 3 Procurement of Stationery Items f,Federal Public Procurement Service,Goods,International,Federal Government,"May 9, 2025, 10:00:00 AM"
PPS-ICB-G-0045-2017-BID,Lot:  1,Lot- 4 Procurement of Sanitary Items for,Federal Public Procurement Service,Goods,International,Federal Government,"May 9, 2025, 2:00:00 PM"
SPHMMC-NCB-G-0796-2017-PUR,Lot:  1,Adhesive Plaster 7.5cm x 5m,St. Paul's Hospital Millennium Medical,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
AHI-NCB-G-0087-2017-PUR,Lot:  1,lot 88 construction items,Animal Health Institute,Goods,National,Federal Government,"Apr 2, 2025, 12:00:00 AM"
AHI-NCB-W-0084-2017-PUR,Lot:  1,ተሸከርካሪውን ኢንስቲዩቱ ድረስ በመገኘት መመልከት ይቻላል፡፡ አ,Animal Health Institute,Works,National,Federal Government,"Apr 2, 2025, 10:00:00 PM"
